[DEBUG-VA-CONT] Continuous Simulation (V_READ_TH=0.6 기준)
Smooth Params: V_read=0.1, Hyst=0.1
LOG t=7.700000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017538e+04 I_raw=0.000000e+00 I_lpf=3.834683e-08 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=7.800000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017539e+04 I_raw=0.000000e+00 I_lpf=1.917342e-08 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=7.900000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017540e+04 I_raw=0.000000e+00 I_lpf=9.586708e-09 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=8.000000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017541e+04 I_raw=0.000000e+00 I_lpf=4.793354e-09 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=8.100000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017542e+04 I_raw=0.000000e+00 I_lpf=2.396677e-09 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=8.200000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017543e+04 I_raw=0.000000e+00 I_lpf=1.198339e-09 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=8.300000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017544e+04 I_raw=0.000000e+00 I_lpf=5.991693e-10 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=8.400000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017546e+04 I_raw=0.000000e+00 I_lpf=2.995846e-10 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=8.500000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017547e+04 I_raw=0.000000e+00 I_lpf=1.497923e-10 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=8.600000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017548e+04 I_raw=0.000000e+00 I_lpf=7.489616e-11 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=8.700000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017549e+04 I_raw=0.000000e+00 I_lpf=3.744808e-11 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=8.800000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017550e+04 I_raw=0.000000e+00 I_lpf=1.872404e-11 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=8.900000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017551e+04 I_raw=0.000000e+00 I_lpf=9.362020e-12 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=9.000000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017552e+04 I_raw=0.000000e+00 I_lpf=4.681010e-12 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=9.100000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017553e+04 I_raw=0.000000e+00 I_lpf=2.340505e-12 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=9.200000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017555e+04 I_raw=0.000000e+00 I_lpf=1.170252e-12 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=9.300000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017556e+04 I_raw=0.000000e+00 I_lpf=5.851262e-13 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=9.400000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017557e+04 I_raw=0.000000e+00 I_lpf=2.925631e-13 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=9.500000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017558e+04 I_raw=0.000000e+00 I_lpf=1.462816e-13 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=9.600000e-08 V=-0.050000 dV=-0.050000 | gate_W=0.0000 | r_ref=+122.0762 W_targ=1.0000 W_next=1.0000 | R=1.017557e+04 I_raw=-4.913728e-06 I_lpf=-2.456864e-06 | alpha=+0.7920 logHr=+9.4157 logLr=+5.9743
