[DEBUG-VA-CONT] Hybrid Logic (V_FILTER=0.01, V_READ_TH=0.6)
VALID t=1.730000e-07 V=-0.350000 | gate_W=0.0067 | r_ref=+159.2121 | R=1.088205e+04 I=-3.2164e-05
VALID t=1.740000e-07 V=-0.300000 | gate_W=0.0025 | r_ref=+159.1413 | R=1.087992e+04 I=-2.7574e-05
VALID t=1.750000e-07 V=-0.250000 | gate_W=0.0009 | r_ref=+159.1094 | R=1.087897e+04 I=-2.2980e-05
VALID t=1.760000e-07 V=-0.200000 | gate_W=0.0003 | r_ref=+159.0953 | R=1.087856e+04 I=-1.8385e-05
VALID t=1.770000e-07 V=-0.150000 | gate_W=0.0001 | r_ref=+159.0892 | R=1.087839e+04 I=-1.3789e-05
VALID t=1.780000e-07 V=-0.100000 | gate_W=0.0000 | r_ref=+159.0867 | R=1.087832e+04 I=-9.1926e-06
VALID t=1.790000e-07 V=-0.050000 | gate_W=0.0000 | r_ref=+159.0856 | R=1.087829e+04 I=-4.5963e-06
VALID t=2.060000e-07 V=+0.050000 | gate_W=0.0000 | r_ref=+159.0842 | R=1.087826e+04 I=4.5963e-06
VALID t=2.070000e-07 V=+0.100000 | gate_W=0.0000 | r_ref=+159.0801 | R=1.087816e+04 I=9.1928e-06
VALID t=2.080000e-07 V=+0.150000 | gate_W=0.0001 | r_ref=+159.0676 | R=1.087786e+04 I=1.3790e-05
VALID t=2.090000e-07 V=+0.200000 | gate_W=0.0003 | r_ref=+159.0304 | R=1.087696e+04 I=1.8388e-05
VALID t=2.100000e-07 V=+0.250000 | gate_W=0.0009 | r_ref=+158.9199 | R=1.087419e+04 I=2.2992e-05
VALID t=2.110000e-07 V=+0.300000 | gate_W=0.0025 | r_ref=+158.5935 | R=1.086548e+04 I=2.7621e-05
VALID t=2.120000e-07 V=+0.350000 | gate_W=0.0067 | r_ref=+157.6372 | R=1.083757e+04 I=3.2346e-05
VALID t=2.130000e-07 V=+0.400000 | gate_W=0.0180 | r_ref=+154.8774 | R=1.074702e+04 I=3.7484e-05
VALID t=2.140000e-07 V=+0.450000 | gate_W=0.0474 | r_ref=+147.1726 | R=1.046209e+04 I=4.4390e-05
VALID t=2.150000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+127.3014 | R=9.664028e+03 I=5.7916e-05
VALID t=2.160000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+131.9597 | R=9.793599e+03 I=5.1115e-05
VALID t=2.170000e-07 V=+0.500000 | gate_W=0.1192 | r_ref=+136.0627 | R=9.907725e+03 I=5.0512e-05
